bet_id,user_id,game,bet_ts,stake_usd,outcome,payout_usd,bonus_used,ip,device_id
30,2,roulette,2025-02-10T22:31:00,1.73,lose,0.0,0,192.168.1.216,dev5
31,2,coinflip,2025-02-21T14:44:00,2.13,lose,0.0,0,192.168.3.246,dev5
32,2,crash,2025-02-05T05:40:00,10.59,win,24.87,0,192.168.2.208,dev5
33,2,crash,2025-02-07T16:30:00,23.18,win,342.75,0,192.168.2.25,dev5
34,2,coinflip,2025-02-24T10:30:00,5.54,win,52.91,0,192.168.4.14,dev5
35,2,crash,2025-02-19T09:22:00,1.87,lose,0.0,1,192.168.2.250,dev5
36,2,roulette,2025-02-14T20:31:00,0.88,lose,0.0,0,192.168.5.23,dev5
37,2,coinflip,2025-02-03T12:46:00,2.04,win,14.4,0,192.168.1.211,dev5
38,2,coinflip,2025-03-03T19:49:00,0.22,lose,0.0,0,192.168.4.38,dev5
39,3,roulette,2025-04-07T21:05:00,0.21,lose,0.0,0,192.168.0.170,dev19
40,3,roulette,2025-03-11T01:26:00,8.05,lose,0.0,0,192.168.2.144,dev19
41,3,crash,2025-03-16T09:11:00,0.19,win,2.54,1,192.168.0.128,dev19
42,3,roulette,2025-04-05T16:02:00,22.48,lose,0.0,1,192.168.3.18,dev19
43,3,coinflip,2025-02-28T21:24:00,5.99,lose,0.0,0,192.168.3.141,dev19
44,3,crash,2025-03-06T02:41:00,0.58,lose,0.0,0,192.168.0.176,dev19
45,3,roulette,2025-03-07T02:13:00,0.49,win,5.89,0,192.168.5.48,dev19
46,3,coinflip,2025-03-03T11:49:00,10.78,win,167.61,0,192.168.4.182,dev19
47,3,crash,2025-03-31T14:42:00,0.22,win,0.39,0,192.168.4.21,dev19
48,3,coinflip,2025-03-24T09:19:00,4.33,lose,0.0,0,192.168.0.81,dev19
49,3,crash,2025-03-23T18:46:00,2.14,win,34.78,0,192.168.5.42,dev19
50,3,crash,2025-04-09T13:30:00,22.29,lose,0.0,0,192.168.4.86,dev19
51,3,coinflip,2025-03-18T08:03:00,10.81,lose,0.0,0,192.168.4.186,dev19
52,3,crash,2025-02-28T04:38:00,4.86,lose,0.0,0,192.168.5.97,dev19
53,3,crash,2025-04-07T07:51:00,1.08,win,6.98,0,192.168.0.74,dev19
54,3,crash,2025-03-09T18:09:00,22.38,lose,0.0,0,192.168.3.89,dev19
55,3,coinflip,2025-04-03T02:34:00,2.24,win,34.45,1,192.168.1.80,dev19
56,3,crash,2025-04-07T01:43:00,2.17,lose,0.0,0,192.168.0.203,dev19
57,3,roulette,2025-03-24T14:34:00,5.61,lose,0.0,0,192.168.4.134,dev19
58,3,crash,2025-03-16T16:20:00,5.18,win,26.2,0,192.168.5.75,dev19
59,3,crash,2025-03-23T18:36:00,2.22,lose,0.0,0,192.168.3.96,dev19
60,3,crash,2025-03-06T11:40:00,16.65,win,34.33,0,192.168.4.6,dev19
61,3,coinflip,2025-03-06T01:13:00,2.07,win,38.55,0,192.168.0.243,dev19
62,3,coinflip,2025-03-28T18:52:00,0.45,win,2.35,0,192.168.0.8,dev19
63,3,crash,2025-03-03T01:35:00,21.64,lose,0.0,1,192.168.0.221,dev19
64,3,roulette,2025-04-07T20:25:00,11.84,win,141.4,0,192.168.5.130,dev19
65,3,roulette,2025-03-25T05:28:00,1.19,lose,0.0,0,192.168.0.242,dev19
66,3,coinflip,2025-03-16T11:03:00,0.23,win,3.69,0,192.168.5.195,dev19
67,3,roulette,2025-03-30T01:06:00,1.1,lose,0.0,0,192.168.2.151,dev19
68,3,coinflip,2025-04-06T14:48:00,0.2,win,1.74,0,192.168.3.44,dev19
69,3,roulette,2025-03-28T07:51:00,11.57,lose,0.0,1,192.168.0.41,dev19
70,3,coinflip,2025-03-14T02:59:00,18.98,lose,0.0,0,192.168.0.238,dev19
71,3,roulette,2025-03-24T00:40:00,2.38,win,13.87,0,192.168.2.37,dev19
72,3,roulette,2025-03-21T07:47:00,0.54,lose,0.0,0,192.168.1.69,dev19
73,3,roulette,2025-03-26T13:15:00,0.18,lose,0.0,0,192.168.1.67,dev19
74,3,crash,2025-03-31T03:20:00,1.69,lose,0.0,0,192.168.5.237,dev19
75,3,crash,2025-03-13T17:30:00,0.18,win,1.48,1,192.168.1.237,dev19
76,3,crash,2025-03-15T03:24:00,2.32,win,34.66,0,192.168.5.5,dev19
77,3,coinflip,2025-03-28T16:21:00,0.49,lose,0.0,1,192.168.2.48,dev19
78,3,crash,2025-03-23T13:02:00,0.46,win,7.87,0,192.168.1.183,dev19
79,4,roulette,2025-02-21T19:05:00,5.46,lose,0.0,0,192.168.1.157,dev42
80,4,crash,2025-03-21T06:37:00,0.4,lose,0.0,0,192.168.5.235,dev42
81,4,crash,2025-02-12T16:51:00,0.91,lose,0.0,1,192.168.0.4,dev42
82,4,coinflip,2025-03-07T15:08:00,0.9,lose,0.0,1,192.168.0.42,dev42
83,4,roulette,2025-03-04T18:38:00,1.01,win,11.15,0,192.168.5.63,dev42
84,4,crash,2025-03-01T22:55:00,5.5,win,97.06,1,192.168.3.115,dev42
85,4,coinflip,2025-03-13T00:33:00,0.4,lose,0.0,0,192.168.1.43,dev42
86,4,coinflip,2025-02-15T09:16:00,23.64,win,440.57,0,192.168.2.5,dev42
87,4,crash,2025-03-19T20:36:00,4.48,win,35.79,0,192.168.1.12,dev42
88,4,crash,2025-02-26T03:29:00,5.0,win,18.79,0,192.168.1.139,dev42
89,4,roulette,2025-03-18T07:55:00,0.53,lose,0.0,0,192.168.0.241,dev42
90,5,coinflip,2025-01-29T22:26:00,20.82,win,405.03,0,192.168.2.87,dev10
91,5,crash,2025-01-30T07:53:00,9.74,lose,0.0,1,192.168.2.209,dev10
92,5,crash,2025-01-30T17:03:00,4.29,lose,0.0,0,192.168.3.170,dev10
93,5,roulette,2025-02-14T00:23:00,4.37,win,22.79,0,192.168.1.36,dev10
94,5,crash,2025-01-31T12:49:00,8.19,lose,0.0,1,192.168.0.9,dev10
95,5,coinflip,2025-02-13T08:58:00,4.55,lose,0.0,1,192.168.4.26,dev10
96,5,roulette,2025-01-21T03:33:00,1.79,win,6.43,0,192.168.1.31,dev10
97,5,coinflip,2025-01-08T19:58:00,0.83,lose,0.0,1,192.168.3.32,dev10
98,5,crash,2025-02-06T04:56:00,2.06,win,31.14,0,192.168.2.215,dev10
99,5,coinflip,2025-02-03T19:44:00,0.53,win,7.76,0,192.168.4.78,dev10
100,5,crash,2025-02-13T15:30:00,0.18,win,1.98,0,192.168.4.102,dev10
101,5,roulette,2025-01-05T11:10:00,1.02,lose,0.0,0,192.168.1.76,dev10
102,5,coinflip,2025-01-08T00:10:00,0.21,win,2.87,0,192.168.3.91,dev10
103,5,coinflip,2025-01-11T16:14:00,11.74,win,162.75,0,192.168.1.158,dev10
104,5,coinflip,2025-02-13T08:52:00,0.22,lose,0.0,0,192.168.3.69,dev10
105,5,coinflip,2025-02-14T22:40:00,0.48,win,4.36,0,192.168.0.128,dev10
106,5,crash,2025-01-30T18:09:00,22.27,lose,0.0,0,192.168.3.219,dev10
107,5,crash,2025-02-02T22:29:00,9.41,win,105.7,0,192.168.5.83,dev10
108,5,crash,2025-01-05T23:54:00,1.96,win,13.96,0,192.168.4.97,dev10
109,5,crash,2025-02-11T07:05:00,1.19,lose,0.0,0,192.168.2.53,dev10
110,5,roulette,2025-02-01T00:01:00,1.03,lose,0.0,1,192.168.2.138,dev10
111,5,coinflip,2025-02-13T13:33:00,10.74,win,87.18,0,192.168.2.116,dev10
112,5,coinflip,2025-01-05T21:04:00,0.42,win,3.74,0,192.168.4.40,dev10
113,5,crash,2025-01-17T13:31:00,2.21,lose,0.0,0,192.168.5.136,dev10
114,5,crash,2025-01-10T05:23:00,1.19,lose,0.0,0,192.168.0.168,dev10
115,5,coinflip,2025-01-23T22:21:00,2.1,lose,0.0,1,192.168.1.130,dev10
116,5,roulette,2025-01-17T13:11:00,10.26,win,123.56,0,192.168.5.11,dev10
117,5,roulette,2025-01-31T00:50:00,1.08,lose,0.0,1,192.168.3.216,dev10
118,5,coinflip,2025-01-11T18:00:00,0.18,lose,0.0,0,192.168.2.224,dev10
119,5,coinflip,2025-02-08T16:09:00,0.48,win,2.11,0,192.168.0.8,dev10
120,5,coinflip,2025-01-11T02:10:00,2.26,lose,0.0,1,192.168.0.167,dev10
121,5,coinflip,2025-01-05T21:49:00,0.86,win,5.67,0,192.168.5.26,dev10
122,5,roulette,2025-02-11T02:22:00,2.1,win,11.7,0,192.168.0.113,dev10
123,5,roulette,2025-01-08T19:15:00,0.41,lose,0.0,1,192.168.2.2,dev10
124,5,coinflip,2025-02-03T09:26:00,1.18,lose,0.0,1,192.168.1.174,dev10
125,5,coinflip,2025-01-29T21:45:00,0.48,win,7.04,0,192.168.1.23,dev10
126,5,crash,2025-01-16T05:22:00,0.4,lose,0.0,0,192.168.2.30,dev10
127,5,crash,2025-01-26T17:55:00,0.96,win,3.63,1,192.168.2.142,dev10
128,5,crash,2025-01-20T12:12:00,0.94,win,6.26,0,192.168.1.62,dev10
129,5,crash,2025-01-13T02:12:00,5.67,win,55.01,1,192.168.1.41,dev10
130,6,crash,2025-02-08T06:46:00,2.1,lose,0.0,0,192.168.3.130,dev48
131,6,crash,2025-01-30T07:54:00,8.52,lose,0.0,0,192.168.3.151,dev48
132,6,crash,2025-02-09T17:15:00,5.02,win,77.25,0,192.168.0.139,dev48
133,6,crash,2025-02-03T23:49:00,0.21,lose,0.0,0,192.168.3.182,dev48
134,6,roulette,2025-01-22T22:11:00,0.88,lose,0.0,0,192.168.2.207,dev48
135,6,roulette,2025-02-18T09:12:00,9.25,win,35.46,0,192.168.2.92,dev48
136,6,coinflip,2025-02-11T14:49:00,11.45,win,75.75,0,192.168.5.205,dev48
137,6,coinflip,2025-02-08T13:01:00,10.8,win,185.37,0,192.168.5.26,dev48
138,6,crash,2025-01-28T09:07:00,5.47,lose,0.0,0,192.168.0.156,dev48
139,6,crash,2025-01-27T13:12:00,0.48,win,3.48,0,192.168.1.145,dev48
140,6,coinflip,2025-01-31T18:31:00,4.51,win,63.86,0,192.168.0.29,dev48
141,6,coinflip,2025-02-04T01:56:00,5.39,lose,0.0,0,192.168.0.203,dev48
142,6,crash,2025-02-06T06:49:00,11.65,win,177.81,1,192.168.4.213,dev48
143,6,roulette,2025-01-31T08:33:00,1.18,win,22.08,0,192.168.5.177,dev48
144,6,coinflip,2025-02-26T20:28:00,0.21,win,2.93,1,192.168.1.126,dev48
145,6,coinflip,2025-01-29T01:44:00,0.87,win,13.87,0,192.168.2.64,dev48
146,6,crash,2025-01-20T05:22:00,1.67,lose,0.0,0,192.168.5.181,dev48
147,6,roulette,2025-02-17T21:30:00,8.97,lose,0.0,0,192.168.5.90,dev48
148,6,coinflip,2025-02-05T04:56:00,0.52,win,6.83,0,192.168.3.195,dev48
149,6,roulette,2025-01-27T21:42:00,5.96,lose,0.0,0,192.168.1.30,dev48
150,6,crash,2025-02-04T00:23:00,0.41,lose,0.0,0,192.168.0.180,dev48
151,6,roulette,2025-02-05T14:07:00,0.98,lose,0.0,0,192.168.4.19,dev48
152,6,crash,2025-01-19T00:29:00,0.22,win,3.34,0,192.168.5.126,dev48
153,7,coinflip,2025-03-12T06:50:00,0.8,lose,0.0,0,192.168.5.158,dev9
154,7,roulette,2025-02-25T20:15:00,0.55,win,4.85,0,192.168.2.48,dev9
155,7,coinflip,2025-03-21T16:54:00,0.42,lose,0.0,0,192.168.4.84,dev9
156,7,crash,2025-03-05T05:41:00,0.89,win,16.48,1,192.168.2.62,dev9
157,7,coinflip,2025-02-12T01:06:00,21.03,lose,0.0,0,192.168.0.242,dev9
158,7,crash,2025-02-22T15:27:00,8.63,win,105.72,0,192.168.5.59,dev9
159,7,coinflip,2025-02-19T04:28:00,1.67,win,16.08,0,192.168.5.96,dev9
160,7,coinflip,2025-02-09T01:53:00,22.67,lose,0.0,0,192.168.0.170,dev9
161,7,crash,2025-02-12T16:45:00,0.83,win,15.92,0,192.168.5.43,dev9
162,7,crash,2025-03-05T09:00:00,20.51,win,104.91,0,192.168.2.133,dev9
163,7,coinflip,2025-03-10T13:34:00,17.23,win,219.99,0,192.168.0.186,dev9
164,7,crash,2025-03-02T19:42:00,5.14,lose,0.0,0,192.168.5.36,dev9
165,7,coinflip,2025-02-28T10:33:00,0.23,win,3.49,0,192.168.1.170,dev9
166,7,coinflip,2025-03-18T11:35:00,1.89,win,18.27,0,192.168.1.47,dev9
167,7,roulette,2025-02-21T17:47:00,0.57,win,1.86,0,192.168.2.182,dev9
168,7,crash,2025-03-12T07:35:00,0.51,lose,0.0,0,192.168.4.146,dev9
169,7,roulette,2025-02-14T13:43:00,19.52,lose,0.0,0,192.168.5.215,dev9
170,7,coinflip,2025-02-16T20:46:00,0.2,lose,0.0,0,192.168.1.145,dev9
171,7,crash,2025-03-11T02:08:00,20.95,win,49.73,0,192.168.5.153,dev9
172,7,roulette,2025-02-22T14:19:00,8.54,lose,0.0,0,192.168.1.145,dev9
173,7,crash,2025-02-16T23:55:00,0.47,lose,0.0,1,192.168.5.175,dev9
174,7,roulette,2025-02-09T08:07:00,1.01,lose,0.0,0,192.168.3.12,dev9
175,7,crash,2025-03-19T11:06:00,4.65,lose,0.0,0,192.168.5.63,dev9
176,7,coinflip,2025-02-25T11:12:00,1.62,lose,0.0,0,192.168.0.125,dev9
177,7,crash,2025-02-16T02:51:00,0.43,lose,0.0,1,192.168.5.98,dev9
178,7,crash,2025-02-18T18:56:00,5.99,lose,0.0,0,192.168.3.4,dev9
179,7,crash,2025-02-10T10:09:00,4.97,win,84.43,0,192.168.4.210,dev9
180,8,crash,2025-03-10T12:53:00,0.54,win,3.1,1,192.168.4.20,dev32
181,8,roulette,2025-02-23T10:33:00,1.16,lose,0.0,0,192.168.1.210,dev32
182,8,crash,2025-02-23T23:29:00,4.94,lose,0.0,0,192.168.2.149,dev32
183,8,roulette,2025-03-02T10:14:00,0.49,lose,0.0,0,192.168.1.187,dev32
184,8,crash,2025-02-09T08:24:00,0.2,win,2.41,0,192.168.1.254,dev32
185,8,roulette,2025-02-02T17:57:00,17.59,win,212.45,0,192.168.2.204,dev32
186,8,roulette,2025-02-15T04:43:00,1.19,win,9.77,1,192.168.1.90,dev32
187,8,crash,2025-03-07T22:25:00,0.22,lose,0.0,1,192.168.3.129,dev32
188,8,roulette,2025-02-23T07:51:00,0.86,win,15.43,0,192.168.3.115,dev32
189,8,crash,2025-02-25T18:49:00,0.52,win,7.7,0,192.168.4.142,dev32
190,8,roulette,2025-02-21T02:58:00,5.85,lose,0.0,0,192.168.2.253,dev32
191,8,coinflip,2025-03-01T11:49:00,2.18,lose,0.0,1,192.168.2.231,dev32
192,8,crash,2025-02-11T08:57:00,4.05,win,26.16,0,192.168.1.13,dev32
193,8,coinflip,2025-02-25T14:12:00,1.15,lose,0.0,0,192.168.5.15,dev32
194,8,roulette,2025-02-08T19:03:00,0.22,lose,0.0,0,192.168.1.2,dev32
195,8,coinflip,2025-02-12T08:34:00,0.21,lose,0.0,0,192.168.2.223,dev32
196,8,crash,2025-02-01T20:31:00,5.36,win,13.74,0,192.168.0.23,dev32
197,8,crash,2025-03-12T19:21:00,4.8,lose,0.0,1,192.168.0.237,dev32
198,8,crash,2025-02-20T18:41:00,0.19,lose,0.0,1,192.168.1.24,dev32
199,8,roulette,2025-02-01T04:13:00,5.53,win,91.57,0,192.168.4.175,dev32
200,8,coinflip,2025-03-09T17:09:00,5.15,win,66.67,1,192.168.3.196,dev32
201,8,coinflip,2025-02-02T20:19:00,20.4,lose,0.0,0,192.168.2.134,dev32
202,8,crash,2025-03-05T08:08:00,0.2,win,3.29,1,192.168.1.254,dev32
203,8,roulette,2025-03-12T07:25:00,0.21,win,2.43,0,192.168.1.67,dev32
204,8,roulette,2025-03-10T11:47:00,0.57,lose,0.0,0,192.168.4.8,dev32
205,8,crash,2025-02-22T22:15:00,19.99,lose,0.0,0,192.168.3.118,dev32
206,8,roulette,2025-02-13T10:50:00,0.21,win,3.45,1,192.168.5.222,dev32
207,8,coinflip,2025-02-22T01:14:00,1.93,lose,0.0,1,192.168.5.221,dev32
208,8,roulette,2025-02-14T00:16:00,1.08,win,8.7,0,192.168.3.165,dev32
209,8,crash,2025-02-17T09:56:00,0.6,lose,0.0,0,192.168.2.245,dev32
210,8,roulette,2025-02-08T09:18:00,0.8,lose,0.0,0,192.168.2.175,dev32
211,8,roulette,2025-03-11T19:28:00,4.1,lose,0.0,1,192.168.5.93,dev32
212,8,crash,2025-02-02T14:11:00,17.12,lose,0.0,0,192.168.0.39,dev32
213,8,crash,2025-01-31T04:58:00,0.5,win,7.7,0,192.168.3.24,dev32
214,8,coinflip,2025-02-26T10:41:00,9.59,win,173.17,0,192.168.1.203,dev32
215,8,roulette,2025-03-12T22:00:00,0.5,win,4.73,0,192.168.0.13,dev32
216,8,roulette,2025-02-20T02:56:00,0.24,lose,0.0,0,192.168.0.46,dev32
217,8,roulette,2025-02-14T21:34:00,10.95,lose,0.0,0,192.168.2.215,dev32
218,8,roulette,2025-03-03T02:22:00,23.74,lose,0.0,0,192.168.2.181,dev32
219,8,crash,2025-02-11T00:16:00,0.24,win,0.57,0,192.168.2.69,dev32
220,8,roulette,2025-01-31T10:44:00,9.81,win,74.74,0,192.168.5.184,dev32
221,9,coinflip,2025-03-10T13:20:00,1.91,win,29.75,1,192.168.1.230,dev45
222,9,coinflip,2025-03-25T00:15:00,5.85,win,74.89,0,192.168.1.212,dev45
223,9,roulette,2025-02-25T21:07:00,20.97,win,309.38,0,192.168.4.84,dev45
224,9,crash,2025-03-13T17:42:00,2.38,win,36.43,1,192.168.4.88,dev45
225,9,roulette,2025-03-22T17:24:00,21.04,lose,0.0,0,192.168.5.17,dev45
226,9,coinflip,2025-03-10T16:17:00,10.71,win,140.67,0,192.168.1.237,dev45
227,9,crash,2025-03-24T08:16:00,21.77,lose,0.0,0,192.168.1.37,dev45
228,9,coinflip,2025-02-17T16:23:00,0.51,lose,0.0,0,192.168.1.40,dev45
229,9,coinflip,2025-03-14T05:40:00,23.28,win,190.72,1,192.168.3.32,dev45
230,9,crash,2025-03-11T04:44:00,1.68,win,27.48,0,192.168.3.170,dev45
231,9,crash,2025-02-18T08:25:00,2.16,win,22.35,0,192.168.4.39,dev45
232,9,crash,2025-02-13T21:08:00,2.02,win,16.89,0,192.168.3.65,dev45
233,9,roulette,2025-02-14T17:12:00,4.52,lose,0.0,0,192.168.4.71,dev45
234,9,crash,2025-03-05T08:15:00,19.5,lose,0.0,0,192.168.0.52,dev45
235,9,crash,2025-02-21T13:50:00,5.56,lose,0.0,0,192.168.3.94,dev45
236,9,crash,2025-02-15T22:48:00,1.94,lose,0.0,0,192.168.1.99,dev45
237,9,coinflip,2025-03-22T04:59:00,0.6,lose,0.0,0,192.168.0.171,dev45
238,10,crash,2025-03-06T02:05:00,1.91,win,35.93,0,192.168.0.28,dev19
239,10,crash,2025-03-22T18:29:00,11.36,win,116.57,1,192.168.3.102,dev19
240,10,roulette,2025-03-16T04:32:00,8.93,win,102.88,1,192.168.2.142,dev19
241,10,crash,2025-03-06T12:49:00,0.17,lose,0.0,0,192.168.0.27,dev19
242,10,roulette,2025-03-16T02:54:00,4.91,lose,0.0,0,192.168.2.124,dev19
243,10,coinflip,2025-02-16T17:44:00,2.27,win,20.49,0,192.168.5.38,dev19
244,10,coinflip,2025-03-05T10:12:00,0.17,lose,0.0,0,192.168.0.81,dev19
245,10,crash,2025-03-09T08:42:00,4.79,lose,0.0,0,192.168.2.78,dev19
246,10,crash,2025-02-28T12:51:00,20.32,win,80.01,0,192.168.5.96,dev19
247,10,coinflip,2025-03-14T21:31:00,4.28,lose,0.0,0,192.168.3.236,dev19
248,10,coinflip,2025-03-20T21:03:00,0.8,win,15.28,1,192.168.0.71,dev19
249,10,roulette,2025-02-27T14:18:00,8.84,lose,0.0,0,192.168.3.240,dev19
250,10,roulette,2025-03-13T06:56:00,0.17,lose,0.0,0,192.168.1.221,dev19
251,11,roulette,2025-02-26T15:11:00,10.24,lose,0.0,0,192.168.5.185,dev30
252,11,roulette,2025-02-06T06:34:00,0.56,lose,0.0,0,192.168.3.25,dev30
253,11,crash,2025-01-31T02:03:00,0.53,win,9.68,0,192.168.1.223,dev30
254,11,roulette,2025-01-22T22:08:00,0.57,win,3.31,0,192.168.2.181,dev30
255,12,crash,2025-02-28T09:58:00,1.02,win,19.37,0,192.168.1.101,dev58
256,12,roulette,2025-02-21T10:24:00,9.16,lose,0.0,0,192.168.1.119,dev58
257,12,crash,2025-02-28T23:11:00,1.07,win,18.01,0,192.168.1.168,dev58
258,12,crash,2025-03-24T16:04:00,1.88,lose,0.0,0,192.168.0.52,dev58
259,12,crash,2025-03-22T08:55:00,5.17,lose,0.0,0,192.168.3.70,dev58
260,12,crash,2025-03-05T18:59:00,0.21,win,0.32,0,192.168.1.169,dev58
261,12,crash,2025-03-10T01:11:00,0.98,win,14.93,0,192.168.2.208,dev58
262,12,crash,2025-02-23T23:35:00,0.22,win,0.99,0,192.168.0.9,dev58
263,12,roulette,2025-02-21T16:37:00,2.12,win,25.85,0,192.168.2.187,dev58
264,12,coinflip,2025-03-01T11:10:00,0.19,lose,0.0,1,192.168.3.78,dev58
265,12,roulette,2025-02-28T08:06:00,0.42,lose,0.0,0,192.168.0.84,dev58
266,12,coinflip,2025-03-20T07:10:00,4.08,win,77.78,0,192.168.4.53,dev58
267,12,coinflip,2025-02-27T07:46:00,4.48,win,15.48,0,192.168.5.147,dev58
268,12,roulette,2025-03-04T22:47:00,0.22,win,1.41,0,192.168.3.160,dev58
269,12,coinflip,2025-03-24T03:18:00,0.17,lose,0.0,0,192.168.4.199,dev58
270,12,roulette,2025-03-23T22:52:00,17.97,lose,0.0,1,192.168.0.56,dev58
271,12,crash,2025-03-30T22:11:00,0.83,lose,0.0,0,192.168.1.3,dev58
272,12,crash,2025-03-11T13:50:00,0.17,win,2.56,0,192.168.1.205,dev58
273,12,roulette,2025-03-13T04:13:00,0.54,lose,0.0,0,192.168.0.203,dev58
274,12,coinflip,2025-03-21T01:31:00,18.64,win,236.07,0,192.168.5.13,dev58
275,12,coinflip,2025-03-14T13:05:00,11.89,lose,0.0,1,192.168.3.173,dev58
276,12,coinflip,2025-03-22T04:16:00,1.16,lose,0.0,1,192.168.5.152,dev58
277,12,coinflip,2025-03-01T13:24:00,23.5,lose,0.0,0,192.168.4.137,dev58
278,12,crash,2025-03-31T03:04:00,22.71,win,117.26,0,192.168.1.225,dev58
279,12,coinflip,2025-03-22T18:58:00,8.2,lose,0.0,0,192.168.5.175,dev58
280,12,roulette,2025-03-12T12:25:00,0.53,lose,0.0,0,192.168.4.232,dev58
281,12,crash,2025-03-18T09:00:00,2.08,lose,0.0,1,192.168.3.108,dev58
282,12,crash,2025-03-17T19:19:00,0.47,win,3.78,1,192.168.4.9,dev58
283,12,crash,2025-03-09T10:05:00,0.54,win,7.41,1,192.168.0.56,dev58
284,12,roulette,2025-03-31T01:24:00,1.82,lose,0.0,0,192.168.1.90,dev58
285,12,crash,2025-03-30T12:19:00,1.18,lose,0.0,1,192.168.1.220,dev58
286,12,roulette,2025-03-01T12:33:00,0.23,win,1.39,0,192.168.5.65,dev58
287,12,coinflip,2025-03-13T21:06:00,11.45,lose,0.0,0,192.168.2.171,dev58
288,12,coinflip,2025-03-17T02:32:00,0.98,lose,0.0,0,192.168.5.182,dev58
289,12,coinflip,2025-03-31T21:24:00,21.41,lose,0.0,0,192.168.2.178,dev58
290,13,coinflip,2025-01-16T21:07:00,1.96,lose,0.0,1,192.168.5.156,dev6
291,14,crash,2025-01-31T01:20:00,0.4,lose,0.0,0,192.168.1.151,dev30
292,14,crash,2025-02-07T16:02:00,0.55,lose,0.0,0,192.168.1.75,dev30
293,14,coinflip,2025-02-05T00:26:00,2.12,lose,0.0,0,192.168.3.127,dev30
294,14,crash,2025-01-25T22:57:00,0.86,lose,0.0,1,192.168.4.89,dev30
295,14,roulette,2025-01-10T06:33:00,0.46,lose,0.0,0,192.168.0.151,dev30
296,14,crash,2025-01-21T12:49:00,8.75,win,165.89,0,192.168.2.238,dev30
297,14,coinflip,2025-01-30T12:06:00,0.94,win,15.2,0,192.168.0.53,dev30
298,14,crash,2025-02-10T14:32:00,8.64,lose,0.0,0,192.168.2.194,dev30
299,14,coinflip,2025-02-05T15:42:00,21.36,lose,0.0,0,192.168.2.184,dev30
300,14,crash,2025-01-27T16:51:00,21.04,win,331.81,0,192.168.5.146,dev30
301,14,crash,2025-01-21T11:38:00,1.19,lose,0.0,1,192.168.0.193,dev30
302,14,crash,2025-02-09T21:53:00,22.46,win,161.23,0,192.168.5.163,dev30
303,14,coinflip,2025-01-09T12:25:00,18.73,win,307.29,0,192.168.1.183,dev30
304,14,coinflip,2025-01-11T17:47:00,2.14,lose,0.0,0,192.168.2.175,dev30
305,14,coinflip,2025-01-06T13:04:00,0.23,lose,0.0,0,192.168.3.55,dev30
306,14,coinflip,2025-02-07T23:17:00,22.82,win,128.03,1,192.168.1.129,dev30
